Total number of words is: 64017
mountain   31   0,048425%
name       31   0,048425%
society    31   0,048425%
speak      31   0,048425%
wanted     31   0,048425%
Azamat     30   0,046863%
If         30   0,046863%
Lermontov  30   0,046863%
Vera       30   0,046863%
When       30   0,046863%
both       30   0,046863%
conversation 30   0,046863%
indeed     30   0,046863%
own        30   0,046863%
set        30   0,046863%
side       30   0,046863%
wish       30   0,046863%
world      30   0,046863%
How        29   0,045300%
Ligovskaya 29   0,045300%
Russians   29   0,045300%
being      29   0,045300%
door       29   0,045300%
either     29   0,045300%
far        29   0,045300%
friend     29   0,045300%
gave       29   0,045300%
got        29   0,045300%
perhaps    29   0,045300%
put        29   0,045300%
reason     29   0,045300%
those      29   0,045300%
Her        28   0,043738%
admit      28   0,043738%
air        28   0,043738%
black      28   0,043738%
certain    28   0,043738%
find       28   0,043738%
happened   28   0,043738%
mountains  28   0,043738%
part       28   0,043738%
soul       28   0,043738%
women      28   0,043738%
distance   27   0,042176%
every      27   0,042176%
few        27   0,042176%
lost       27   0,042176%
pistol     27   0,042176%
read       27   0,042176%
water      27   0,042176%
For        26   0,040614%
Oh         26   0,040614%
called     26   0,040614%
enough     26   0,040614%
fate       26   0,040614%
going      26   0,040614%
hear       26   0,040614%
met        26   0,040614%
past       26   0,040614%
whole      26   0,040614%
arm        25   0,039052%
boy        25   0,039052%
course     25   0,039052%
deep       25   0,039052%
die        25   0,039052%
evening    25   0,039052%
home       25   0,039052%
hope       25   0,039052%
meet       25   0,039052%
probably   25   0,039052%
really     25   0,039052%
snow       25   0,039052%
things     25   0,039052%
used       25   0,039052%
Some       24   0,037490%
bad        24   0,037490%
cold       24   0,037490%
doesn      24   0,037490%
officer    24   0,037490%
order      24   0,037490%
passed     24   0,037490%
quite      24   0,037490%
remember   24   0,037490%
smile      24   0,037490%
strange    24   0,037490%
table      24   0,037490%
understand 24   0,037490%
until      24   0,037490%
character  23   0,035928%
duel       23   0,035928%
half       23   0,035928%
hour       23   0,035928%
loved      23   0,035928%
point      23   0,035928%
shouted    23   0,035928%
thing      23   0,035928%
upon       23   0,035928%
263        22   0,034366%
Vuli       22   0,034366%
alone      22   0,034366%
between    22   0,034366%
found      22   0,034366%
knows      22   0,034366%
minutes    22   0,034366%
new        22   0,034366%
pale       22   0,034366%
reply      22   0,034366%
seemed     22   0,034366%
seems      22   0,034366%
silence    22   0,034366%
sitting    22   0,034366%
someone    22   0,034366%
sun        22   0,034366%
talk       22   0,034366%
After      21   0,032804%
Circassian 21   0,032804%
added      21   0,032804%
best       21   0,032804%
cap        21   0,032804%
continued  21   0,032804%
lips       21   0,032804%
miles      21   0,032804%
overcoat   21   0,032804%
poor       21   0,032804%
stood      21   0,032804%
taking     21   0,032804%
talking    21   0,032804%
tried      21   0,032804%
whether    21   0,032804%
years      21   0,032804%
French     20   0,031242%
Then       20   0,031242%
actually   20   0,031242%
bed        20   0,031242%
care       20   0,031242%
girl       20   0,031242%
glance     20   0,031242%
gone       20   0,031242%
hut        20   0,031242%
knew       20   0,031242%
matter     20   0,031242%
noticed    20   0,031242%
novel      20   0,031242%
o          20   0,031242%
others     20   0,031242%
short      20   0,031242%
tea        20   0,031242%
tears      20   0,031242%
Only       19   0,029680%
Werner     19   0,029680%
army       19   0,029680%
blue       19   0,029680%
clock      19   0,029680%
cut        19   0,029680%
father     19   0,029680%
fellow     19   0,029680%
fire       19   0,029680%
front      19   0,029680%
grew       19   0,029680%
guerrillas 19   0,029680%
lay        19   0,029680%
nor        19   0,029680%
sir        19   0,029680%
struck     19   0,029680%
whom       19   0,029680%
All        18   0,028118%
To         18   0,028118%
Well       18   0,028118%
among      18   0,028118%
anyone     18   0,028118%
house      18   0,028118%
http       18   0,028118%
leave      18   0,028118%
looking    18   0,028118%
money      18   0,028118%
ran        18   0,028118%
ready      18   0,028118%
saying     18   0,028118%
shook      18   0,028118%
spa        18   0,028118%
times      18   0,028118%
use        18   0,028118%
whose      18   0,028118%
wind       18   0,028118%
year       18   0,028118%
One        17   0,026555%
also       17   0,026555%
arms       17   0,026555%
boat       17   0,026555%
days       17   0,026555%
else       17   0,026555%
fine       17   0,026555%
given      17   0,026555%
great      17   0,026555%
husband    17   0,026555%
let        17   0,026555%
line       17   0,026555%
mother     17   0,026555%
often      17   0,026555%
